,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,146019,282364,405829,528189,648112,770975,887909,1011927,1135605,1243126,1359011,1462364,1562606,1673173,1765574,1872311,1964841,2052736,2146327,2225087,2302414,2389069,2468595,2553061
2,160670,319981,475839,631849,772497,913853,1055858,1193285,1336157,1462821,1602801,1724268,1849511,1974821,2087837,2211136,2312984,2429963,2543746,2642554,2750100,2842850,2942847,3031498
3,178885,345510,519211,683155,835580,1005788,1172020,1329457,1476410,1615570,1768883,1913989,2039018,2183777,2322700,2458499,2579445,2696532,2808256,2930326,3049269,3158894,3258771,3363662
4,223241,421887,616772,829644,1038537,1222480,1396601,1567618,1745566,1910323,2091220,2248398,2404818,2566966,2732853,2882339,3030326,3183397,3334312,3479206,3617425,3750377,3866857,3972644
5,242945,463424,694482,920435,1135199,1360321,1565412,1762777,1956204,2156433,2338971,2518593,2709101,2895437,3074902,3244167,3417606,3578035,3721766,3874169,4027351,4177968,4316578,4437441
6,286736,543020,795599,1055874,1305838,1567203,1817211,2062302,2282183,2513821,2749818,2987752,3211847,3425648,3622437,3813733,4005526,4200949,4369802,4542547,4706858,4878468,5055993,5225268
7,328537,634016,938027,1249002,1549354,1849235,2119917,2381160,2664956,2923174,3189041,3442363,3673624,3895118,4142074,4388967,4619953,4847226,5067948,5282402,5461320,5654913,5836528,6021196
8,347736,707148,1019665,1328418,1640588,1946242,2261288,2579812,2856640,3134662,3398097,3691249,3947383,4193285,4439299,4691974,4922615,5162047,5402345,5621413,5824136,6026931,6207286,6381337
9,371589,709238,1038557,1392220,1732796,2035179,2333611,2642778,2943983,3226226,3532318,3811052,4068719,4348998,4601715,4869646,5112435,5352427,5578863,5783850,6001018,6209561,6417619,6624398
10,375693,716080,1069947,1412355,1739764,2054732,2383372,2678655,2979546,3282094,3587997,3860817,4150713,4449228,4699020,4984492,5255256,5484869,5737504,5976226,6223225,6442936,6668521,6872728
11,397590,775248,1185837,1548863,1941104,2280613,2632669,2957268,3278603,3623379,3959085,4252680,4553965,4848742,5162712,5462016,5760525,6024146,6274236,6503921,6767568,7001294,7236801,7456270
12,417509,840502,1267719,1653878,2052047,2450011,2801219,3192774,3551103,3876671,4204935,4554396,4882756,5209863,5504199,5781974,6066540,6373789,6679507,6932046,7223808,7454932,7727025,7977586
13,476747,902297,1351833,1762526,2202447,2597336,3025935,3412871,3812404,4214430,4601000,4984389,5355830,5715537,6077493,6405088,6710675,7033294,7327784,7597617,7885372,8142902,8423008,8670470
14,504973,1009497,1503359,1965497,2415575,2871282,3291973,3709781,4095415,4496625,4907251,5272294,5620293,5992993,6321067,6690400,7012871,7332626,7680908,7963685,8298161,8582164,8849076,9152820
15,540864,1086543,1574889,2080597,2559982,3055316,3549624,4012830,4496524,4903933,5357891,5797098,6219105,6596237,7014477,7387484,7722480,8112304,8460652,8780407,9133241,9481815,9797289,10087581
16,520184,1068027,1622080,2156879,2698796,3194732,3675478,4121693,4606039,5044283,5482403,5882126,6271018,6686604,7105583,7479248,7828524,8206728,8556847,8910051,9255331,9565479,9863146,10179894
17,587954,1113820,1700408,2224361,2740743,3246161,3723578,4193654,4690472,5159708,5605111,6090947,6527816,6949493,7356341,7774934,8158152,8553499,8901891,9250554,9624067,10003359,10312936,10635336
18,617735,1163187,1750929,2305449,2881527,3427747,3950836,4466176,4965950,5463487,5926609,6379069,6825273,7275991,7730088,8152209,8524709,8955604,9312773,9710243,10079666,10455164,10829560,11149963
19,581988,1191835,1791972,2401894,2976418,3564297,4080775,4583639,5089480,5588797,6130506,6615282,7105126,7603348,8018811,8493927,8966028,9425776,9856257,10294388,10664993,11026940,11366270,11716378
20,597658,1191969,1797109,2373914,2975300,3565075,4093809,4667334,5236352,5760185,6234986,6755996,7244776,7754885,8206690,8615050,9063190,9489257,9860048,10233328,10629594,10965322,11327900,11690486
21,601132,1184485,1796606,2357625,2912128,3506808,4062372,4565578,5126850,5641348,6109022,6627379,7115338,7574132,8045903,8487183,8949511,9404727,9842374,10258760,10631945,11010263,11360102,11692456
22,640213,1242601,1843549,2381924,2942314,3538817,4089310,4629403,5128273,5674222,6173264,6651536,7165775,7594984,8058140,8480800,8876766,9280400,9716104,10074803,10492522,10853981,11226349,11578148
23,571967,1169103,1782588,2355660,2918039,3446530,3954675,4488051,4997114,5524231,6034365,6536640,6990973,7406339,7819430,8240255,8655812,9034358,9392175,9802577,10184331,10553404,10938923,11314186
24,603555,1220825,1819015,2414871,2930265,3490472,4008363,4508644,5023443,5553910,6042440,6497363,6969171,7438976,7864708,8283761,8716794,9146502,9541508,9925604,10325472,10656085,11001492,11341249